10023.xml	p495	p2819	1525	t1,t5	<s n="99">Grütz mir hernn schultheis <persName ref="p6336" sent="to">Ruͤplin</persName>, <persName ref="p6338" sent="to">Sigmunden</persName>, <persName ref="p5906" sent="to">Mörickovernn</persName>, den praedicanten und ander bruͤder in Christo, und «die gnad gottes sy mitt dir».</s>
12907.xml	p8018	p495	1547	t10,t11	<s n="27">Soll uff den 4. april jederman grüst sin, ins faͤld zuͦ ziehen.</s>
12911.xml	p8055	p495	1547	t10	<s n="68">Gruͤtzt ewer lieb hausgesind mitt allen guͦten herren und frunden.</s>
12912.xml	p8055	p495	1547	t10	<s n="16">Gruͤzt die ewern all und seind von den unsern ouch gegruͤzt.</s>
12918.xml	p7879	p495	1547	t2,t3	<s n="16">Myn husfrouw thuͦt vast gruͤssen.</s>
12930.xml	p495	p8055	1547	t10	<s n="49">Gruͤssend mir üwer huß und alle guͦte herren und fründ.</s>
12935.xml	p8055	p495	1547	t10	<s n="41"><persName ref="p8049" sent="from">Vadianus</persName> hat mir auff sontag nechst ain gruͦtz by unserm Engellender zuͦ empotten (<persName ref="p506" sent="to">Buttlerus</persName> ist zu S. Gallen gewesen).</s>
12940.xml	p8055	p495	1547	t10	<s n="45">Euch grussend min lieber bruͦder und vetter.</s>
12976.xml	p8055	p495	1547	t10	<s n="10">Grutzt yederman.</s>
12977.xml	p2237	p495	1547	t2,t5	<s n="18">Gruͤssend mir uwer lieb hußfrowen, doctorn <persName ref="p1283" sent="to">Geßnern</persName>, <persName ref="p8171" sent="to">Theodorum</persName>, <persName ref="p8011" sent="to">Gwaltherum</persName> und all guͦt fründ.</s>
13004.xml	p8055	p495	1547	t10	<s n="15">Gruͤtzt alle menschen von hertzen.</s>
13009.xml	p495	p8055	1547	t10	<s n="29">Gruͤssend mir h. <persName ref="p2916" sent="to">Sebastian Schertlin</persName>, üwern bruͦder und vetter.</s>
13017.xml	p8055	p495	1547	t7,t10	<s n="31">Gruͤtz ewer liebs hausgesind sampt allen herren und guͦten frunden.</s>
13017.xml	p8055	p495	1547	t7,t10	<s n="32">Die unsern empietend euch vyl dienst, guͦtz und gruͦtz, sonderlich mein lieber <persName ref="p8178" sent="to">bruͦder</persName> und <persName ref="p4082" sent="to">vetter</persName>.</s>
13019.xml	p8018	p495	1547	t10,t11	<s n="121">Sonst weiß ich nüt, dann gruͤtzend mir alle herren und fründ, auch üwer gantz husgsind, und bittend gott, das er uns uß disem jamer helffe.</s>
13070.xml	p8055	p495	1547	t10,t11	<s n="17">Es schickend sich all sachen zuͦ grosser verfolgung und gruͦsammem bluͦtvergiessen.</s>
13079.xml	p3927	p495	1547	t6	<s n="33">Griest myr alle ewer mytbruder, die das wort deß heren liebenn.</s>
13089.xml	p8055	p495	1547		<s n="55">Wellt den ewern allen vyl, vyl dienst, guͦtz und gruͦtz sagen.</s>
13102.xml	p495	p8055	1547	t2,t10	<s n="20">Gruͤssend mir die üwern.</s>
13115.xml	p8055	p495	1547	t10,t11	<s n="24">Die meinen all, min lieber <persName ref="p8178" sent="to">bruͦder</persName> und <persName ref="p4082" sent="to">vetter</persName>, empietend euch all vyl, vyl guͦts und gruͦtz.</s>
13115.xml	p8055	p495	1547	t10,t11	<s n="31">Wellt <persName ref="p8018" sent="to">in</persName> von mir ouch gantz fruntlich gruͤtzen.</s>
13122.xml	p8055	p495	1547	t10	<s n="25">Sagt dem h. <persName ref="p2916" sent="to">S. Schärtlin</persName> und <persName ref="p8498" sent="to">Marcellen</persName> vyl dienst, guͦtz und gruͦtz.</s>
13148.xml	p8055	p495	1547	t2,t10	<s n="9">Empiet euch daneben vyl dienst, guͦts und gruͦtz, mitt wunschung hunderttausend guͦter jar und ewigs lebens euch und allen liebverwandten.</s>
13148.xml	p8055	p495	1547	t2,t10	<s n="47">Gruͤtzt all ewer hausgesind und liebverwandten mitt allen bruͤderen.</s>
1323.xml	p8018	p495	1551	t6,t8	<s n="29">Salutat te vicissim d. quaestor, der hatt gester sin ampt uffgen; man hatt inn sin aber nitt wellen erlaßen.</s>
1338.xml	p8018	p495	1551	t5	<s n="12">Gruͤtzend uns herwider alle bruͤder.</s>
134.xml	p8055	p495	1548	t2,t10	<s n="16">Aber ich warten all stund meines lieben schwagers <persName ref="p8500" sent="from">Peter Schären</persName> des jungen, der euch allweg gantz fruntlich bevilcht von seinen wegen ze gruͤssen; der wirt wol allen bschaid sagen konnen; allsdann schrib ich weyter.</s>
1341.xml	p8055	p495	1551	t10	<s n="6">Mein lieber schwager <persName ref="p8500" sent="from">Peter Scher</persName> uff gestert, der euch doch vyl, vyl dienst, gruͦß und alles guͦts ze sagen und sich in getrüw fürpitt bevilcht.</s>
136.xml	p8440	p495	1548	t5,t6,t11	<s n="22">Grutß mir dein liebe hausfrow und kinder sampt allen lieben herren und pruderen, so mitt unß im weingarten gottes fechten.</s>
1382.xml	p8018	p495	1551		<s n="22">Üch und üwer gantz hußgsind gruͤßt min volk.</s>
1382.xml	p8018	p495	1551		<s n="23">Sind von gott alle gruͤßt.</s>
1470.xml	p8055	p495	1551	t10	<s n="19">Gruͤtzt ewer hauß, auch all guͦt herren und freund.</s>
1474.xml	p8018	p495	1551	t10	<s n="12">Üch gruͤßt min her seckelmeister <persName ref="p8012" sent="from">Haller</persName>, venner <persName ref="p8389" sent="to">imm Hag</persName>, <persName ref="p8417" sent="to">Musculus</persName> und andere.</s>
1499.xml	p182	p495	1551	t11	<s n="13">Grüst mir herrn <persName>Jacoben</persName>, den herrn statschreiber von Lindaw, eur und ire haußfrawen, und möcht leiden, der statschreiber het sich aus ursachen uff montag schiristen gewißlich zu mir gen Aro zum Wilden Mann verfuegt; dann ich het mit im zu reden, das sich nit schreiben laßen will, schigkh deßhalb disen aigen poten.</s>
1535.xml	p8018	p495	1552	t5	<s n="21">Gruͤßend uns allen die üweren.</s>
157.xml	p8440	p495	1548	t5	<s n="16">Ich soll dich zu taußentmalen grüßen von meynem lieben mittarbayter <persName ref="p330" sent="from">Bartholomeo Bertlino</persName>.</s>
157.xml	p8440	p495	1548	t5	<s n="17">Es grüßt dich meyn liebe hausfrow sampt deinem gemahel.</s>
1625.xml	p8098	p495	1552	t10	<s n="8">Der baiden herrn burgermeister <persName ref="p1888" sent="to">Lavaters</persName> und <persName ref="p1419" sent="to">Haben</persName> zu enpotten grüessen bedancken wir uns, entpietten inen widerumb unsern grus und günstigen willen.</s>
1702.xml	p8440	p495	1552	t5,t11	<s n="21">Gruß mir din liebe husfrow und das gantz hußgesind.</s>
1702.xml	p8440	p495	1552	t5,t11	<s n="23">Es grußt dich der <persName ref="p3494" sent="from">von Dießbach</persName>, der schuldheyß und <persName ref="p8369" sent="from">Hammanus</persName>, myn lieber gefatter landschryber; der ist nun byß und die sechst woch kranck, hoff aber besserung.</s>
1711.xml	p8018	p495	1552	t2,t10	<s n="12">Min volk laßt üch und die üweren fast gruͤßen; deßglich thuͦt auch <persName ref="p8417" sent="from">Musculus</persName> und sin hus.</s>
1715.xml	p654	p495	1552	t10	<s n="10">Got sye mimt üch; gruͤtzend uns die geliepten bruͤder allsammen.</s>
1715.xml	p654	p495	1552	t10	<s n="11">Üch lassen gruͦtzen <persName ref="p8013" sent="from">Heymius</persName>, <persName ref="p3196" sent="from">Tscharner</persName>, <persName ref="p8359" sent="from">Philippus</persName>, <persName ref="p6831" sent="from">Traversus</persName> und <persName ref="p6130" sent="from">Pontasella</persName>.</s>
1739.xml	p654	p495	1552	t10,t11	<s n="5">Die cardinäl sind grüst gsyn heimlich in iren hüsern mit kriegrüstung.</s>
1739.xml	p654	p495	1552	t10,t11	<s n="6">Vor der stadt Rom ist grüst gsyn <persName ref="p17872" sent="to">Don Dego</persName>, der obrest zu Sena gsyn ist, mit sinem hispanischen zug, auch verborgenlich und so der pabst spat zo enen rytte, inn zu begrüssen.</s>
1739.xml	p654	p495	1552	t10,t11	<s n="13">Üch grüssend alle gute herrn und brüder.</s>
1743.xml	p8098	p495	1552	t4,t5	<s n="7">Wollen burgermaister <persName ref="p1888" sent="to">Lavatern</persName> und <persName ref="p1419" sent="to">Haben</persName> unsern gnädigen grus anzaigen mit gnädigem beger, das sie jetzund bei dem guten wätter ain vässlin mit siessen most auff ain seiten legen wöllen, damit, wann wir ains komen, wie wir dann auch gern thun wolten, so unser geschäfft das zuͦlassen, wir solche versuchen mögen.</s>
176.xml	p8440	p495	1548	t5,t11	<s n="16">Grüß mir dein liebe hausfrow, alle liebe herren und pruder.</s>
176.xml	p8440	p495	1548	t5,t11	<s n="17">Eß grüßt dich früntlich <persName ref="p330" sent="from">Bartholomeus Berthlinus</persName> und <persName ref="p8009" sent="from">Joannes Schmyd</persName> etc.</s>
1775.xml	p8098	p495	1552	t5	<s n="10">Tragen auch mit euwer schwachait ain gantz gnädig mittlaiden, und wollet euwerm schwager dem <persName ref="p8011" sent="to">Gwalther</persName> unsern gantz gnädigen und genaigten grus anzaigen.</s>
180.xml	p8108	p495	1548	t2,t5	<s n="26">Bevilch mich üch alzit mit pitt, wellind mir min lieben hern bruͦder <persName ref="p1214" sent="to">M. Johann Friesen</persName> grüssen.</s>
1830.xml	p9697	p495	1553	t2,t3	<s n="9">Her <persName ref="p18263" sent="from">Niclauß Brem</persName> last uch hinwider seinen grüß unnd dinst durch mich ansagen.</s>
184.xml	p495	p2305	1548	t11	<s n="25">Es gruͤssen ü(wer) w(yßheit) min gnedig herren beide burgermeister <persName ref="p1419" sent="from">H. Hab</persName> und <persName ref="p1888" sent="from">H. Lavater</persName>, mit welcher vorwüssen ich disen brieff geschriben hab.</s>
1896.xml	p8061	p495	1553	t2,t9	<s n="20">D. <persName ref="p8415" sent="to">Mart. Micronius</persName> te iussit plurimum salvere.</s>
191.xml	p8018	p495	1548	t11	<s n="45">Der laßt üch fast grüßen; stat in einem kauff mit junker <persName ref="p3559" sent="from">Hartman von Halwyl</persName> eines sitzes halb zuͦ Araw; weiß noch nitt, wie es stat.</s>
191.xml	p8018	p495	1548	t11	<s n="62">Es grüßt üch auch sonderlich min herr schuldtheß <persName ref="p2305" sent="from">Nägeli</persName>, inn deß nammen ich zuͦ guͦtem theil schriben; dann er mir befolhen, in sinem nammen zuͦ schriben und üch zuͦ danken üwerß fründtlichen zuͦ schribenß; er sye bereit, üch wo er könn, zuͦ dienen; er habe selb nitt vyl zuͦ schriben, zuͦ dem er ungern schrib und inn sur ankomme.</s>
191.xml	p8018	p495	1548	t11	<s n="64">Er befilcht mir auch sonderlich, si beid min herren burgermeister wider zuͦ grüßen.</s>
191.xml	p8018	p495	1548	t11	<s n="65">Das wellend von mindtwegen usrichten und si auch in minem nammen grüßen.</s>
1927.xml	p8098	p495	1553	t2,t4	<s n="7">Beiden burgermaistern bey euch sollet ir unnsern gnädigen grus ansagen.</s>
1938.xml	p8475	p495	1553	t2,t5	<s n="18">Min liebe hußfrow latt üch und üweren eren lieben egmachel fast gruͤtzen.</s>
1938.xml	p8475	p495	1553	t2,t5	<s n="19">Grützen mir m. <persName ref="p1214" sent="to">Hanß Friesen</persName>.</s>
1973.xml	p1918	p495	1553	t11	<s n="17">Mit pit, mir all ewer gut herren und freund grietzen <persName>Hanß Ratz</persName> und ewer haußgesind.</s>
1976.xml	p527	p495	1553	t9,t10	<s n="21"><persName>Schwitz</persName> lost uns alle gruͤssen, und es stand wol um yn an gelt.</s>
2028.xml	p8051,p495	p487	1553	t1	<s n="7">Wedes es ist, so heiss sis uffschriben und gruͤtz mir si trülich, und las dine schuͦ nitt zergan, gib sy zbuͤtzen und biß husslich.</s>
2028.xml	p8051,p495	p487	1553	t1	<s n="10">Es gruͤst dich der ätty.</s>
2032.xml	p495	p487	1553	t3	<s n="20">Das muͤterli last dich vast gruͤssen und sagt dir, du söllist flyssig sin und din zyt wol anlegen.</s>
2032.xml	p495	p487	1553	t3	<s n="37">Das <persName>Bridli</persName> last dich gruͤssen.</s>
2044.xml	p8055	p495	1553	t6	<s n="21">Wellt e. e. liebe hus frowen vyl vyl dienst, liebs, guͦts und gruͦtz sagen und all euwerm husgesind von mir und miner lieben husfrowen und den herren getrulich und ernstlich für uns bitten.</s>
2048.xml	p182	p495	1553	t4,t5	<s n="4">Griest mir eur liebe haußfrawen und kinder, auch in sunderhait meinen lieben wirdt, euren brueder her <persName ref="p527" sent="to">Hannsen</persName>.</s>
220.xml	p8018	p495	1548	t10	<s n="3">Uff hütt ist min gn(ädigen) herren fürkommen, wie es mit Costentz stand; hatt man ylends alle posten zroß und zfuͦß bsetzt, auch allen vögten gschriben, sich zuͦ rüsten und uff den nechsten bscheid grüst sin uf zuͦ sin; deßglich schript man auch gen Fryburg und Solloturn.</s>
2200.xml	p8018	p495	1554	t1,t2	<s n="9">Üch gruͤßt min her seckelmeister <persName ref="p8012" sent="from">Haller</persName>, bi dem ich hütt mittsampt m. <persName ref="p4213">Hans Asper</persName> zmorgen gäßen.</s>
222.xml	p8055	p495	1548	t10,t11	<s n="27">Gruͤtzt alle menschen.</s>
236.xml	p8049	p495	1548	t11	<s n="35">Mitt pitt, wellend söllichs herren burgermaister <persName ref="p1888" sent="to">Lavatter</persName> auch ainzaygen und inn von meinetwegen treulich gruͤßen.</s>
2386.xml	p3494	p495	1554	t2,t10	<s n="15">Min husfrouw thuͦtt uch und uwer eeren husfrouw fast frunntlich grussen und fyll gutz wunschen, mit allweg guͦtter hoffnung, sy werde uch noch anfartt zuͦ Bern gesechen, mit fruntlicher bitt, so sich semlichs zuͦtragen wurd, ir wellent bin uns alss ein schlechte, aber doch ein guͦttwillige herberg fur guͦtt annemmen und inkoͤren.</s>
2386.xml	p3494	p495	1554	t2,t10	<s n="16">Grussen unss herr <persName ref="p8011" sent="to">Waltherum</persName>, den meyster <persName ref="p1214" sent="to">Fryessen</persName>, <persName sent="to">Osyam</persName>, uwren dochterman und all guͦtt herren und gesellen.</s>
2428.xml	p3494	p495	1554	t5,t10	<s n="10">Min husfrouw thut uch und uwer eren husfrouw fast fruntlich grussen und vyl guͦtz sagen.</s>
2428.xml	p3494	p495	1554	t5,t10	<s n="11">Grussen mir d. <persName ref="p8011" sent="to">Waltherum</persName>, <persName ref="p1214" sent="to">Frysium</persName> und uwer tochtermann und sagent ym, ich warte alweg sines bescheides.</s>
25.xml	p8055	p495	1548	t5,t11	<s n="17">Meinen gunstigen, lieben schwager Marcell Dietrichen sampt seiner lieben husfrowen wellt von mir und den minen allen fruntlich gruͤtzen.</s>
2552.xml	p3494	p495	1555	t10	<s n="18">Min husfrouw thut uch sampt uwer eren husfrouw fast fruntlich grussen und fyll fyl guͦtz sagen.</s>
2552.xml	p3494	p495	1555	t10	<s n="19">Wellend mir hern <persName ref="p8011" sent="to">Walther</persName> und uwerm thochterman und meyster <persName ref="p1214" sent="to">Hans Friessen</persName> allen fyl guͦtz sagen und fruntlichen grussen.</s>
257.xml	p495	p8418	1548	t10,t11	<s n="40">Dise nüw zytung von Constantz mögend ir minem gnedigen herren von Wirtemberg anzeigen sampt minem gruͦß und aller underthänikeit.</s>
2588.xml	p2700	p495	1555	t1,t2	<s n="9">An demm tuͦnd yr mir ein dienst doran, und wormit ich aüch kan dienen, so schaft und gepietten allzeitt; sollen yr mich willige finden, und mer pit ich aüch, yr wellen mir gruͤzen denn amma <persName ref="p8071" sent="to">Fogler</persName> und <persName ref="p1283" sent="to">Kuͦredt Gesller</persName> und magistro <persName ref="p1214" sent="to">Hans Fries</persName> und her <persName ref="p5093" sent="to">Hainrich Gölldli</persName> und sein hausfrowe.</s>
2595.xml	p8036	p495	1555	t1,t2	<s n="7">Gruessen mir min liebe baß, euwre khinder, tochtermenner, und wo ir pottschafft, minen bruder.</s>
260.xml	p8055	p495	1548	t10,t11	<s n="23">Gruͤtzend all guͦt herren und fründ und zuvor ewer gantz haußgesind.</s>
2609.xml	p9697	p495	1555	t4,t9	<s n="18">Her <persName ref="p18263" sent="from">Clauß Brom</persName>, <persName sent="from">Jost Glußer</persName> und m. <persName ref="p20803" sent="from">Heinrich Lautensack</persName> lassen uch iren gruß und dinst sagen.</s>
267.xml	p8055	p495	1548	t10,t11	<s n="31">Sagend ewerm hauß vyl vyl guͦts wunschs von mir zuͦ allem guͦtem und gruͤtzt all guͦt herren und bruͤder.</s>
267.xml	p8055	p495	1548	t10,t11	<s n="32">Min hertz-liebe <persName ref="p4334" sent="from">schwöster</persName> empeut euch vyl guͦts und grutz, begert ewers fuͤrpitts.</s>
2679.xml	p495	p8119	1555	t2	<s n="8">Gruͤssend uns üwer eeren hußfrowen; es gruͤst üch all min volck.</s>
2695.xml	p495	p487	1555	t2,t3	<s n="40">Sy gruͤssend dich alle trüwlich.</s>
2715.xml	p495	p66	1555	t2,t10	<s n="21">Min hußfrow last dich, die din und dine kind früntlich gruͤssen, deßglych ich ouch.</s>
2789.xml	p8018	p495	1555	t2	<s n="20">Gruͤsend mir die üweren all.</s>
2807.xml	p8359	p495	1556	t5	<s n="33">Dan wiewol eüwerem und unserem trüwen Pund, desglichen unseren lieben aid- und puntzgnossen der Fünff Orten niemand anderst dan guͦtz truwen sol, das si ützid anderst fürnemend und thüend, dan was ynen wol anstaat und recht ist, staat es dannacht nit wol an eüweren gmainden und kilchen, der götlichen gerechtikhait nach zuͦ reden, welliche wir predigen und fürderen sollend, das sy, so us götlichem wort bericht mit hertzen und mundt bekennendt, das der bapst der recht war Entchrist sye, ja, sollichen gmainden staat es nit wol an, das sy wider ieren glouben und ire bekantnuß, ungenöt und ungezwungener sach, selbs gen Rom louffend zuͦ dem bapst, den verderblichen Entchrist, den grüessend, dem z\'fuͦssen fallend, dem nidergeströwt d\'schuͦch küssend und schier als iren Got Anbettend und vererendt.</s>
2807.xml	p8359	p495	1556	t5	<s n="39">wissend ir nit, was der hailig <persName ref="p5213">Joannes</persName> uns geschriben hatt: "So jemants zuͦ eüch kumpt und pringt dise ler nit, den nemmend nit zuͦ eüch ins hus und grüessend in ouch nit; dan wer in grüesset, der hat gmainschafft mit sinen bösen wercken?</s>
2807.xml	p8359	p495	1556	t5	<s n="40">Wie gdürvend dan ir zuͦ dem bapst wellen und den grüessen, ja ouch anbetten?</s>
2826.xml	p8359	p495	1556	t2,t3	<s n="11">Es hand mir hüt empfolhen beid herren burgermaister, <persName ref="p3196" sent="from">Hans Tscherner</persName> und <persName ref="p2043" sent="from">Ambrosi Marty</persName>, ich sol eüch in irem nammen vast grüessen und vil guͦtz wünschen.</s>
2826.xml	p8359	p495	1556	t2,t3	<s n="13">Es grüeßt eüch ouch der pater <persName ref="p654" sent="from">Comander</persName>.</s>
2845.xml	p8042	p495	1556	t2	<s n="6">Ich und min husfrouw und mine kind land alle fast grouͤtzen und ein gantze früntschaft.</s>
2866.xml	p8130	p495	1556	t10	<s n="24">Gruͤtzend mir üwer gsind, min her gfatter, h. <persName ref="p1888" sent="to">Lavatern</persName> und unsere lieben bruͦder <persName ref="p8011" sent="to">Gualtherum</persName>, <persName ref="p1214" sent="to">Frisium</persName> etc.</s>
2924.xml	p8130	p495	1556	t10	<s n="12">Gruͤßend mir all guͦtti lütt etc.</s>
2942.xml	p495	p3067	1556	t2	<s n="20">Gruͤssend mir und miner lieben hußfrowen üwer eerenhußfrowen, und gott sye mitt üch.</s>
302.xml	p8036	p495	1548	t2	<s n="3">Bin aber inn kurtzem, so ich von Wien anheimsch kom, zuͦ üch und miner lieben basen, die ir mir gantz fründtlich gruessen sollen, ze khomenn inn willen.</s>
302.xml	p8036	p495	1548	t2	<s n="6">Hiemit lassen mich üch bevolhen sein und gruesen mir min hertzliebe basen.</s>
3042.xml	p8055	p495	1556	t3	<s n="9"><persName ref="p3927" sent="from">Welserus</persName> gruͤtzt euch uff das fruntlichst, zoͤgt an, der keiser nemme sinen weg in Hispanien, <persName ref="p20183">duca de Alb</persName> fuͤre die sachen, zuͦ Inspruck und anderschwa grosß volck angenomen.</s>
3069.xml	p8417	p495	1556	t4,t6	<s n="16">Wa er zu euch in die stat kheme, wellent ym mynen gruß ansagen und dißes anzeigen; ich truw ym nach so vil vonn alter fründtschaft wegen, er werden mich auch bedencken, darumb ich yn will gepeten haben.</s>
3095.xml	p8352	p495	1557	t1,t2	<s n="8">Der heyst üch alle zum allerfründlichesten gruͤssen.</s>
3095.xml	p8352	p495	1557	t1,t2	<s n="9">Myn hußwirth unnd ich baͤtten üch, wellennd unns die üweren alle zum hoͤchsten gruͤssen unnd nitt faͤlen uff den genanten tag unns heymzesuͤchen; wellennd den anndren allen by zythen anzöugen.</s>
31.xml	p8055	p495	1548	t4	<s n="26">Euch gruͤtzend die unseren all.</s>
31.xml	p8055	p495	1548	t4	<s n="27">Gruͤtzt die ewern von meinen wegen und bettend mitt allen truwen für unß. Gott mitt euch hie und dort ewigklich.</s>
311.xml	p495	p8055	1548	t11	<s n="45">Es gruͤßend üch und die üwern mine lieben bruͤder <persName ref="p8417" sent="from">Musculus</persName> und <persName ref="p8440" sent="from">M. Gervasius</persName> sampt andern unsern bruͤdern.</s>
3165.xml	p4058	p495	1557	t2	<s n="6">Gruͤssend mier dschwester unnd die üweren allesamen.</s>
3213.xml	p495	p8098	1557	t4,t6	<s n="20">u. f. g. laßt min herr burgermeister <persName ref="p1419" sent="from">Hab</persName>, der kurtzverruckter tagen von u. f. g. wol empfangen und eerlich gehalten, sinen gruͦß und alles guͦts ansagen etc.</s>
326.xml	p8018	p495	1548	t2	<s n="14">Min her <persName ref="p8012" sent="from">seckelmeister Haller</persName>, herr <persName ref="p8389" sent="from">imm Hag</persName>, stattschriber laßend üch fast gruͤßen.</s>
3306.xml	p8432	p495	1557	t3,t9	<s n="31">Ouch so grüßt mir trülich euwere ersame hußfrow, minen son und gantzer hußhab. etc.</s>
3320.xml	p3927	p495	1557	t5,t10	<s n="12">Ewer erbere <persName ref="p8051" sent="to">hausfraw</persName> unnd die eweren lasen ich, die meynenn fast griesen.</s>
3321.xml	p8055	p495	1557	t6,t10	<s n="16">Schribt unser W(elser) und bevilcht mir, euch vyl vyl dienst und gruͦtz von im zuͦzeschriben; er meint, die koofleut werdind sich nitt mehr insetzen lassen, gellt usszelichen dergstalt.</s>
3357.xml	p495	p8009	1557	t10,t11	<s n="19">"Vatter, es ist guͦt umb mich, und gruͦtz dich und die muͦter fast trulich etc."</s>
344.xml	p8055	p495	1548	t10,t11	<s n="37">Myn lieber bruͦder ist uff sinem Gyrsperg und zuͦ Emishofen ain zytle gewesen, aber yetz ouch zuͦ uns heruß kommen, last sein liebe hausfrouwen mitt aim tail der kind uff dem Gyrsperg hausen, empeut euch gar gar vyl hertzliches gruͦtz mitt allem guͦtem, byß er euch selbs schreiben kan, ist noch gar unstarck seines magenwees halber.</s>
3464.xml	p495	p3099	1558	t2,t5	<s n="19">Ich mein je die sach guͦt, begären, ir wellind sy von mir grützen, ouch zuͦ üch nemmen herren <persName ref="p1754" sent="to">Joan(nem) Jungium</persName> und h(errn) <persName sent="to">Zügern</persName>, iren alten vogt, die ouch von minet wägen grüßen und ernstlich bitten, das best in diser sach ze thuͦn, damit wenig geschreigs und unwillens angerichtet werde.</s>
3475.xml	p8354	p495	1558	t6	<s n="20">Gruesst mir yederman, die mich kennen.</s>
3487.xml	p495	p8009	1558	t5	<s n="31">Grüssend mir minen h(erren) <persName ref="p3196" sent="to">Tsch(arner)</persName> und h(erren) b(urgermeister) <persName sent="to">Martin</persName> sampt andern minen guͦten herren und fründen.</s>
3534.xml	p8055	p495	1558	t10	<s n="3">Er empeut euch sin fruntlich, willig dienst und vylfaltigen grutz etc.</s>
3654.xml	p495	p8009	1558	t2	<s n="10">Grüssend mir h. <persName ref="p3590" sent="to">Philippen</persName>, h. <persName ref="p6130" sent="to">Pontasellen</persName>, vorab mine herren bürgermeister.</s>
367.xml	p8018	p495	1548	t6	<s n="84">Min herren, beid seckelmeister und venner <persName ref="p8389" sent="from">im Hag</persName>, sind zuͦ Basell; wil üwer gruͤtz usrichten, so si wider kommind.</s>
370.xml	p8018	p495	1548	t2	<s n="8">Gruͤtzend üwer husfraw und gantz husgsind von mir und den minen.</s>
378.xml	p8018	p495	1548	t2,t10	<s n="16">Gruͤtzend mir her <persName ref="p1888" sent="to">Lafater</persName>.</s>
378.xml	p8018	p495	1548	t2,t10	<s n="17">Es gruͤßt üch auch beid wider min her seckelmeister; bi dem fenner bin ich noch nitt gsin.</s>
378.xml	p8018	p495	1548	t2,t10	<s n="18">Gruͤtzend üwer gantz husgsind von mir und den minen.</s>
381.xml	p8055	p495	1548	t2,t10	<s n="27">Es gruͤtzt euch hie alle menschen mitt wunschung vyl tausender guͦter jar und ewig himmlischer fröd.</s>
382.xml	p8018	p495	1548	t5	<s n="9">Es sind auch hie H. <persName sent="from">Michel</persName> und her <persName sent="from">Jacob von Biel</persName>; die laßen üch allsammen fast gruͤßen mitt sampt juncker <persName ref="p7879" sent="from">Nicklauß von Witenbach</persName>, H. <persName sent="from">Josen</persName>, H. <persName sent="from">Hansen</persName>, <persName ref="p3700" sent="from">Eberhart</persName> und <persName sent="from">Niklausen</persName>, auch von mim h. seckelmeister und fenner <persName ref="p8389" sent="from">Imm Hag</persName>.</s>
3850.xml	p8432	p495	1559	t3,t10	<s n="49">Für all ander ist min bitt, ir welt mir euwer liebi hußfrow grüssen und euwer das gantz huß gsindt, denen allen ich ein frölich glückhafftig nüw jar wünschen thuͦn.</s>
3850.xml	p8432	p495	1559	t3,t10	<s n="50">So welt mir ouch mine brüder <persName ref="p20466" sent="to">Hector</persName> und <persName ref="p20467" sent="to">Josua</persName> grüssen, und ist min bitt an sy, das sy sich woll haltend.</s>
3865.xml	p3716	p495	1559	t2,t3	<s n="8">Min hussfrowe und min son <persName ref="p8432" sent="from">Fridrich</persName>, der comissario ze Cleven, und andren güt frint und gunner lond uch und uwre liebi husfrowe und uwre kinder alli fast grützen, und ver üch lieb ist.</s>
395.xml	p2553	p495	1549	t2	<s n="6"><persName ref="p8011" sent="to">Rodolpho Gualthero</persName>, minem lieben bruͦder, sagend minen fruntlichen gruͦß; es latt euch mein bruͦder <persName ref="p2552" sent="from">Alexander</persName> vil guͦtz sagen.</s>
396.xml	p8018	p495	1549	t5,t10	<s n="26">Die gruͤtzend von mir und minem husgsind.</s>
396.xml	p8018	p495	1549	t5,t10	<s n="27">Es gruͤtzend üch mine herren wider, deß glich min her seckelmeister <persName ref="p8063" sent="from">Steiger</persName>, der mir hütt selichs ob dem imbiß befolhen.</s>
397.xml	p495	p3067	1549	t10	<s n="17">Sölchs hab ich üch in yl bericht, hern <persName ref="p3067" sent="to">Hansen</persName> zuͦ berichten, und das ir inn früntlich von mir und den minen gruͤssind, imm sagind, das ich willig sye, imm alle zyt ze dienen und ze hälffen wie minem lieben bruͦder; dann er verdient mitt siner redliche, das imm jederman hold billich ist.</s>
397.xml	p495	p3067	1549	t10	<s n="18">Gott bewar üch, üwer eeren hußfrowen; die gruͤst die min sampt minem gantzen huß.</s>
4016.xml	p6	p495	1559	t4,t5	<s n="13">Gruͦß mir meine guͦthe here und vatter d. <persName ref="p8111" sent="to">Peter Martir</persName> und gebe ihm diese ingeschlossen breve; ich glaub, er wirt etwas gutz darin haben.</s>
4016.xml	p6	p495	1559	t4,t5	<s n="14">Gruß mir h. <persName ref="p8011" sent="to">Gwalterus</persName> mein guͦte herr und frundt mit sampt seine liebe huspfrau, und ich wynch ewer sonne und seine tochter vil gluckh und heyl von lieb und seel, und wo ich kan euch oder ihnen dienst bewiesen, das wil ich von hartzen gern thue.</s>
403.xml	p8018	p495	1549	t3,t6	<s n="48"><persName ref="p8389" sent="from">Hagius</persName> und <persName ref="p7879" sent="from">fenner</persName> <persName sent="from">Witenbach</persName> laßend üch fast gruͤßen, deßglich min volk alles üch, auch üwer husfraw und kind.</s>
